Gene;Swissprot;Mercator;NST_FT_FPKM;NST_75_FPKM;NST_55_FPKM;NST_35_FPKM;NST_AD_FPKM;NST_RH_FPKM
Xvis03_200001; Glutamine__fructose_6_phosphate aminotransferase [isomerizing] 2 ;not assigned-no ontology;4.53;3.75;3.65;4.28;3.8;1.79
Xvis03_200002; Probable mitochondrial_processing peptidase subunit beta ;protein-targeting;12.12;18.39;15.53;17.16;17.76;16.45
Xvis03_200004; Coiled_coil domain_containing protein 18 ;cell-organisation;15.56;14.05;12.57;23.37;20.11;7.6
Xvis03_200005; SNAP25 homologous protein SNAP33 ;cell-vesicle transport;3.01;2.32;2;2.07;2.45;0.18
Xvis03_200006; LYR motif_containing protein 4 ;not assigned-unknown;87.91;121.03;139.45;104.86;98.14;143.05
Xvis03_200007;NA;not assigned-unknown;4.61;2.77;1.57;1.27;0.99;2.54
Xvis03_200008; Putative leucine_rich repeat receptor_like serine/threonine_protein kinase At3g53590 ;not assigned-unknown;25.65;15.94;14.27;9.92;10.34;28.02
Xvis03_200009; S phase cyclin A_associated protein in the endoplasmic reticulum ;not assigned-unknown;6.13;6.53;5.26;9.64;8.14;3.35
Xvis03_200010;NA;not assigned-unknown;2.57;2.14;1.42;1.53;0.75;2.94
Xvis03_200011; Uncharacterized protein At3g61260 ;not assigned-unknown;0.43;0.37;0.2;0.34;0.63;0.2
Xvis03_200012; Tripartite motif_containing protein 59 ;protein-degradation;70.39;34.93;45.61;107.66;100.32;85.46
Xvis03_200013;NA;not assigned-unknown;1286.79;400.57;339.06;253.85;208.8;837.95
Xvis03_200014; Poly(A) RNA polymerase gld_4 ;not assigned-unknown;12.42;8.96;7.52;13.94;13.09;7.78
Xvis03_200015; Uncharacterized protein At5g01610 ;not assigned-unknown;20.26;1.54;0.16;0.08;0;67.7
Xvis03_200016; Protein UXT homolog ;not assigned-unknown;7.42;4.89;4.14;3.94;2.24;4.32
Xvis03_200018; Isoflavone 2'_hydroxylase ;misc-cytochrome P450;10.55;0.31;0.21;0.62;1.06;9.38
Xvis03_200019; F_box_like/WD repeat_containing protein TBL1XR1 ;stress-abiotic;17.09;15.35;17.34;14.91;18.66;14.71
Xvis03_200021; Mannose_1_phosphate guanyltransferase alpha ;major CHO metabolism-synthesis-starch;27.92;33.44;29.92;18.55;23.04;28.55
Xvis03_200023; Protein RBL ;development-unspecified;16.13;14.53;13.18;25.9;16.9;19.14
Xvis03_200024;NA;RNA-regulation of transcription;7.06;1.17;0.78;0.88;0.75;6.07
Xvis03_200025; Opioid growth factor receptor ;not assigned-unknown;0.71;0.09;0.05;0.05;0.04;44.21
Xvis03_200026;NA;not assigned-unknown;0;0;0;0;0;0
Xvis03_200027;NA;not assigned-unknown;47.11;55.51;51.78;61.47;50.3;54.55
Xvis03_200028; Casein kinase II subunit alpha ;protein-postranslational modification;10.55;13.84;13.12;15.84;16.64;9.11
Xvis03_200029; BTB/POZ domain_containing protein At5g67385 ;signalling-light;99.32;94.27;205.49;198.37;260.62;86.91
Xvis03_200030;NA;not assigned-unknown;8.88;0.84;0.65;0.2;0.68;8.17
